id,room_type,category,street,city,prefecture,cost,size,deposit,key_money,floor,year,station,minute,created_at
1,1R,Apartment,Taito,Taito-ku,Tokyo,350000.0,51.36,0.0,0.0,8,2023,Shin Okachimachi,7,2025-01-20 16:17:51
2,1LDK,Apartment,Ryusen,Taito-ku,Tokyo,174000.0,41.4,159000.0,0.0,8,2020,Minowa,6,2025-01-20 16:17:51
3,2DK,Apartment,Kiba,Koto-ku,Tokyo,187000.0,36.92,177000.0,0.0,12,2024,Kiba,2,2025-01-20 16:17:51
4,1LDK,Apartment,Kamimaruko sannocho,Kawasaki-shi Nakahara-ku,Kanagawa,159000.0,42.75,146000.0,146000.0,7,1968,Musashi-kosugi,10,2025-01-20 16:17:51
5,1LDK,Town house,Kamiikedai,Ota-ku,Tokyo,350550.0,97.61,330000.0,0.0,1,2012,Nagahara,9,2025-01-20 16:17:51
6,1SLDK,Apartment,Minamiaoyama,Minato-ku,Tokyo,380550.0,56.6,0.0,0.0,2,2024,Omotesando,7,2025-01-20 16:17:51
7,1DK,Apartment,Minato,Chuo-ku,Tokyo,159000.0,25.54,144000.0,0.0,8,2023,Hacchoubori,5,2025-01-20 16:17:51
8,1R,Apartment,Minamidai,Nakano-ku,Tokyo,80000.0,16.47,78000.0,0.0,1,1993,Nakanoshinbashi,10,2025-01-20 16:17:51
9,1K,Apartment,Nishiwaseda(sonota),Shinjuku-ku,Tokyo,158000.0,26.12,148000.0,0.0,10,2021,Nishiwaseda,1,2025-01-20 16:17:51
10,1SLDK,Apartment,Oyama kanaicho,Itabashi-ku,Tokyo,150000.0,40.5,145000.0,0.0,4,1980,Oyama,8,2025-01-20 16:17:51
11,1R,Apartment,Hongo,Bunkyo-ku,Tokyo,70000.0,15.57,70000.0,0.0,3,1983,Toudai Mae,6,2025-01-20 16:17:51
12,1K,Apartment,Ikebukurohoncho,Toshima-ku,Tokyo,175800.0,20.46,0.0,0.0,2,2019,Kita Ikebukuro,7,2025-01-20 16:17:51
13,1SLDK,Apartment,Higashimukojima,Sumida-ku,Tokyo,246030.0,45.76,0.0,0.0,4,2023,Hikifune,6,2025-01-20 16:17:51
14,1LDK,Apartment,Akatsuka,Itabashi-ku,Tokyo,195000.0,44.0,190000.0,0.0,2,2023,Shimo Akatsuka,8,2025-01-20 16:17:51
15,1K,Apartment,Shinjuku,Shinjuku-ku,Tokyo,176000.0,25.23,176000.0,0.0,13,2023,Higashi-Shinjuku,2,2025-01-20 16:17:51
16,1LDK,Apartment,Shimura,Itabashi-ku,Tokyo,168000.0,40.96,0.0,0.0,5,2024,Shimura San Choume,2,2025-01-20 16:17:51
17,1R,Apartment,Taito,Taito-ku,Tokyo,350000.0,51.36,0.0,0.0,8,2023,Shin Okachimachi,7,2025-01-20 16:17:51
18,2LDK,Apartment,Egota,Nakano-ku,Tokyo,233000.0,59.43,218000.0,0.0,2,2018,Shin Egota,10,2025-01-20 16:17:51
19,1LDK,Apartment,Komazawa,Setagaya-ku,Tokyo,180000.0,50.25,0.0,0.0,3,2024,Komazawa-daigaku,7,2025-01-20 16:17:51
20,1K,Apartment,Taishido,Setagaya-ku,Tokyo,176000.0,35.64,0.0,0.0,7,2004,Sangenjaya,8,2025-01-20 16:17:51
21,1LDK,Apartment,Nishigokencho,Shinjuku-ku,Tokyo,248880.0,40.03,0.0,0.0,4,2018,Kagurazaka,3,2025-01-20 16:17:51
22,1LDK,Apartment,Motoazabu,Minato-ku,Tokyo,365000.0,46.33,353000.0,0.0,3,2024,Azabu-juban,5,2025-01-20 16:17:51
23,1LDK,Apartment,Shinogawamachi,Shinjuku-ku,Tokyo,355000.0,49.15,340000.0,0.0,7,2024,Iidabashi,6,2025-01-20 16:17:51
24,1K,Apartment,Higashi,Shibuya-ku,Tokyo,152000.0,25.92,0.0,0.0,5,2006,Ebisu,7,2025-01-20 16:17:51
25,1R,Apartment,Yoyogi,Shibuya-ku,Tokyo,155000.0,22.91,145000.0,145000.0,4,2008,Minami Shinjuku,4,2025-01-20 16:17:51
26,1LDK,Apartment,Roppongi,Minato-ku,Tokyo,345000.0,53.35,330000.0,0.0,2,2002,Roppongi,3,2025-01-20 16:17:51
27,1K,Apartment,Toyo,Koto-ku,Tokyo,125000.0,26.77,0.0,0.0,6,2022,Touyouchou,9,2025-01-20 16:17:51
28,2LDK,Apartment,Kandasudacho,Chiyoda-ku,Tokyo,330000.0,52.11,310000.0,0.0,13,2023,Kanda,3,2025-01-20 16:17:51
29,1LDK,Apartment,Akatsuka,Itabashi-ku,Tokyo,165000.0,42.0,0.0,0.0,1,2023,Shimo Akatsuka,8,2025-01-20 16:17:51
30,1LDK,Apartment,Ebisu,Shibuya-ku,Tokyo,230000.0,39.03,220000.0,220000.0,3,2007,Hiroo,10,2025-01-20 16:17:51
31,1K,Apartment,Azumabashi,Sumida-ku,Tokyo,103000.0,22.11,95000.0,95000.0,2,2000,Asakusa,3,2025-01-20 16:17:51
32,1K,Apartment,Ikebukuro (2-4-chome),Toshima-ku,Tokyo,207400.0,25.0,0.0,0.0,13,2022,Kanamechou,2,2025-01-20 16:17:51
33,1R,Apartment,Taito,Taito-ku,Tokyo,350000.0,51.36,0.0,0.0,8,2023,Shin Okachimachi,7,2025-01-20 16:17:51
34,1DK,Apartment,Yahiro,Sumida-ku,Tokyo,105000.0,27.6,0.0,0.0,6,2022,Yahiro,6,2025-01-20 16:17:51
35,1R,Apartment,Toyosaki,Osaka-shi Kita-ku,Osaka,90000.0,11.7,0.0,0.0,8,1990,Nakatsu,4,2025-01-20 16:17:51
36,1DK,Apartment,Kamiochiai,Shinjuku-ku,Tokyo,237900.0,30.0,0.0,0.0,3,2022,Ochiai,4,2025-01-20 16:17:51
37,1R,Apartment,Ichijoji nishimizuboshicho,Kyoto-shi Sakyo-ku,Kyoto,58500.0,19.84,50000.0,0.0,2,1988,Chayama,3,2025-01-20 16:17:51
39,1LDK,Serviced Apartment,Tomihisacho,Shinjuku-ku,Tokyo,310000.0,45.35,100000.0,0.0,1,2021,Akebonobashi,4,2025-01-20 16:17:51
40,1DK,Apartment,Nakanobu,Shinagawa-ku,Tokyo,131000.0,25.07,0.0,0.0,2,2024,Ebaramachi,4,2025-01-20 16:17:51
41,1LDK,Apartment,Nishishinjuku,Shinjuku-ku,Tokyo,399000.0,59.0,366000.0,0.0,18,2018,Hatsudai,5,2025-01-20 16:17:51
42,1LDK,Apartment,Hamamatsucho,Minato-ku,Tokyo,333000.0,38.0,0.0,0.0,7,2018,Daimon,4,2025-01-20 16:17:51
43,2LDK,Apartment,Roppongi,Minato-ku,Tokyo,588700.0,66.23,544700.0,0.0,15,2021,Azabu-juban,4,2025-01-20 16:17:51
44,2K,Apartment,Honjo,Sumida-ku,Tokyo,230700.0,28.26,0.0,0.0,6,2024,Asakusa,9,2025-01-20 16:17:51
45,1LDK,Apartment,Minamiazabu,Minato-ku,Tokyo,441590.0,51.0,408590.0,0.0,2,2023,Azabu-juban,8,2025-01-20 16:17:51
46,1LDK,Apartment,Mita,Minato-ku,Tokyo,304040.0,52.76,271040.0,0.0,5,2003,Sengakuji,4,2025-01-20 16:17:51
47,1R,Apartment,Bentencho,Shinjuku-ku,Tokyo,181200.0,18.68,0.0,0.0,4,2023,Ushigome Yanagicho,6,2025-01-20 16:17:51
48,2SLDK,Apartment,Aobadai,Meguro-ku,Tokyo,573000.0,68.0,529000.0,0.0,9,2023,Shinsen,6,2025-01-20 16:17:51
49,1R,Apartment,Taito,Taito-ku,Tokyo,350000.0,51.36,0.0,0.0,8,2023,Shin Okachimachi,7,2025-01-20 16:17:51
50,1K,Apartment,Minamiotsuka,Toshima-ku,Tokyo,250000.0,25.0,100000.0,0.0,5,2018,Otsuka,7,2025-01-20 16:17:51
51,2LDK,Apartment,Nishiazabu,Minato-ku,Tokyo,300330.0,52.28,0.0,0.0,7,2024,Nogizaka,8,2025-01-20 16:17:51
52,1R,Serviced Apartment,Kawadacho,Shinjuku-ku,Tokyo,180000.0,25.79,100000.0,0.0,1,2018,Wakamatsu Kawada,5,2025-01-20 16:17:51
53,2LDK,Apartment,Yoga,Setagaya-ku,Tokyo,248000.0,73.0,240000.0,240000.0,1,1989,Youga,3,2025-01-20 16:17:51
54,1K,Apartment,Ichiba fujimicho,Yokohama-shi Tsurumi-ku,Kanagawa,78000.0,21.75,0.0,66000.0,1,2018,Tsurumiichiba,3,2025-01-20 16:17:51
55,2LDK,Apartment,Sarugakucho,Shibuya-ku,Tokyo,1020000.0,94.26,1020000.0,1020000.0,2,2024,Daikanyama,5,2025-01-20 16:17:51
56,1LDK,Apartment,Shimouma,Setagaya-ku,Tokyo,330000.0,41.97,0.0,0.0,4,2023,Gakugei Daigaku,8,2025-01-20 16:17:51
57,1DK,Apartment,Kitaotsuka,Toshima-ku,Tokyo,133000.0,30.57,0.0,113000.0,3,2022,Sugamoshinden,5,2025-01-20 16:17:51
58,1DK,Apartment,Kamiikebukuro,Toshima-ku,Tokyo,128000.0,36.38,0.0,113000.0,8,2009,Kita Ikebukuro,5,2025-01-20 16:17:51
59,3LDK,Apartment,Harumi,Chuo-ku,Tokyo,420000.0,70.84,400000.0,400000.0,36,2019,Toyosu,14,2025-01-20 16:17:51
60,1LDK,Apartment,Kamiuma,Setagaya-ku,Tokyo,362000.0,39.51,0.0,0.0,3,2024,Shōin-Jinjamae.,7,2025-01-20 16:17:51
61,1LDK,Apartment,Yoyogi,Shibuya-ku,Tokyo,252000.0,43.61,242000.0,0.0,3,2007,Yoyogi,4,2025-01-20 16:17:51
62,1K,Apartment,Sueyoshicho,Yokohama-shi Naka-ku,Kanagawa,89880.0,20.06,0.0,0.0,2,2023,Hinodecho,4,2025-01-20 16:17:51
63,1LDK,Apartment,Nihombashihakozakicho,Chuo-ku,Tokyo,204020.0,40.06,192000.0,192000.0,11,2020,Kayabacho,6,2025-01-20 16:17:51
64,3LDK,Apartment,Meiekiminami,Nagoya-shi Nakamura-ku,Aichi,280000.0,73.9,0.0,0.0,9,2023,Nagoya,13,2025-01-20 16:17:51
65,1R,Apartment,Taito,Taito-ku,Tokyo,350000.0,51.36,0.0,0.0,8,2023,Shin Okachimachi,7,2025-01-20 16:17:51
66,2LDK,Apartment,Ohara,Setagaya-ku,Tokyo,450000.0,91.98,0.0,0.0,8,2024,Daitabashi,6,2025-01-20 16:17:51
67,1DK,Apartment,Toyosaki,Osaka-shi Kita-ku,Osaka,84500.0,30.0,50000.0,0.0,4,1976,Nakazakicho,7,2025-01-20 16:17:51
68,2LDK,Apartment,Taihei,Sumida-ku,Tokyo,210110.0,40.34,195000.0,0.0,2,2021,Kinshichou,8,2025-01-20 16:17:51
69,2LDK,Apartment,Harumi,Chuo-ku,Tokyo,438120.0,55.7,0.0,0.0,10,2024,Kachidoki,16,2025-01-20 16:17:51
70,1R,Apartment,Kagamiyacho,Kyoto-shi Nakagyo-ku,Kyoto,64000.0,16.5,50000.0,0.0,4,1972,Marutamachi,4,2025-01-20 16:17:51
71,Shared,Guesthouse,Narimasu,Itabashi-ku,Tokyo,75000.0,7.0,0.0,16500.0,1,2017,Narimasu,5,2025-01-20 16:17:51
72,1LDK,Apartment,Jingumae,Shibuya-ku,Tokyo,285000.0,59.32,270000.0,270000.0,2,2016,Gaien Mae,5,2025-01-20 16:17:51
73,1K,Apartment,Tachibana,Sumida-ku,Tokyo,158000.0,20.08,50000.0,0.0,2,2016,Higashi Azuma,5,2025-01-20 16:17:51
74,1LDK,Apartment,Kinshi,Sumida-ku,Tokyo,195110.0,34.21,177000.0,177000.0,8,2023,Kinshichou,5,2025-01-20 16:17:51
75,4SLDK,Apartment,Yombancho,Chiyoda-ku,Tokyo,450000.0,107.42,450000.0,450000.0,6,1969,Kojimachi,3,2025-01-20 16:17:51
76,1R,Apartment,Midori,Sumida-ku,Tokyo,135110.0,26.19,0.0,0.0,2,2019,Kinshichou,11,2025-01-20 16:17:51
78,2LDK,Apartment,Sumiyoshicho,Shinjuku-ku,Tokyo,270000.0,55.07,522000.0,261000.0,8,2005,Akebonobashi,3,2025-01-20 16:17:51
79,1K,Apartment,Takamatsu,Toshima-ku,Tokyo,105190.0,32.75,50000.0,50000.0,2,2009,Kanamechou,8,2025-01-20 16:17:51
80,1K,Apartment,Kitamonzencho,Kyoto-shi Shimogyo-ku,Kyoto,68000.0,19.0,50000.0,0.0,3,1979,Omiya,8,2025-01-20 16:17:51
81,1R,Apartment,Taito,Taito-ku,Tokyo,350000.0,51.36,0.0,0.0,8,2023,Shin Okachimachi,7,2025-01-20 16:17:51
82,1LDK,Apartment,Shibuya,Shibuya-ku,Tokyo,299000.0,50.01,284000.0,284000.0,5,2014,Shibuya,2,2025-01-20 16:17:51
83,2LDK,Serviced Apartment,Yokodocho,Chiba-shi Hanamigawa-ku,Chiba,126000.0,46.86,0.0,0.0,1,1985,Keisei Owada,4,2025-01-20 16:17:51
84,1LDK,Apartment,Yoga,Setagaya-ku,Tokyo,166000.0,48.02,166000.0,166000.0,1,2025,Sakurashinmachi,8,2025-01-20 16:17:51
85,1R,Apartment,Otsuka,Hachioji-shi,Tokyo,37000.0,21.45,0.0,0.0,2,1987,Otsuka   Teikyoudaigaku,7,2025-01-20 16:17:51
86,1LDK,Apartment,Mejirodai,Bunkyo-ku,Tokyo,269000.0,35.97,236000.0,0.0,5,2024,Gokokuji,5,2025-01-20 16:17:51
87,1DK,Apartment,Kamata,Ota-ku,Tokyo,269000.0,30.52,0.0,0.0,2,2020,Keikyu Kamata,7,2025-01-20 16:17:51
88,2LDK,Apartment,Shirokane,Minato-ku,Tokyo,296860.0,50.69,0.0,0.0,8,2007,Shirokane-takanawa,4,2025-01-20 16:17:51
89,1LDK,Serviced Apartment,Shimomeguro,Meguro-ku,Tokyo,450000.0,46.08,0.0,0.0,1,2001,Meguro,8,2025-01-20 16:17:51
90,Shared,Guesthouse,Owada,Niiza-shi,Saitama,49000.0,12.6,0.0,16500.0,4,1991,Niiza,16,2025-01-20 16:17:51
91,1R,Apartment,Shibadaimon,Minato-ku,Tokyo,101320.0,27.65,96000.0,96000.0,5,1979,Daimon,3,2025-01-20 16:17:51
92,1DK,Serviced Apartment,Hyakunincho,Shinjuku-ku,Tokyo,230000.0,31.12,100000.0,0.0,4,2023,Shinokubo,7,2025-01-20 16:17:51
93,1R,Apartment,Fuchinobe,Sagamihara-shi Chuo-ku,Kanagawa,39000.0,20.7,0.0,0.0,3,1989,Fuchinobe,6,2025-01-20 16:17:51
94,1DK,Apartment,Taihei,Sumida-ku,Tokyo,160110.0,33.22,152000.0,152000.0,11,2007,Oshiage,3,2025-01-20 16:17:51
96,1R,Apartment,Shintomicho,Kashiwa-shi,Chiba,42000.0,20.0,0.0,0.0,1,1990,Minamikashiwa,11,2025-01-20 16:17:51
97,1R,Apartment,Taito,Taito-ku,Tokyo,350000.0,51.36,0.0,0.0,8,2023,Shin Okachimachi,7,2025-01-20 16:17:51
98,1K,Apartment,Minamiazabu,Minato-ku,Tokyo,127000.0,25.25,117000.0,117000.0,1,2018,Azabu-juban,8,2025-01-20 16:17:51
99,1K,Apartment,Minamiazabu,Minato-ku,Tokyo,100000.0,22.0,188000.0,0.0,10,2004,Shirokane-takanawa,5,2025-01-20 16:17:51
100,1K,Apartment,Higashiazabu,Minato-ku,Tokyo,168000.0,29.01,158000.0,158000.0,5,2020,Azabu-juban,1,2025-01-20 16:17:51
101,1R,Apartment,Kamiosaki,Shinagawa-ku,Tokyo,197000.0,30.99,197000.0,197000.0,7,2017,Meguro,2,2025-01-20 16:17:51
102,1K,Serviced Apartment,Nishigokencho,Shinjuku-ku,Tokyo,160000.0,18.0,100000.0,0.0,4,2024,Edogawabashi,7,2025-01-20 16:17:51
103,1R,Apartment,Ebara,Shinagawa-ku,Tokyo,135000.0,29.9,135000.0,0.0,5,1971,Musashi Koyama,7,2025-01-20 16:17:51
104,1K,Apartment,Minamiotsuka,Toshima-ku,Tokyo,230000.0,24.0,100000.0,0.0,3,2018,Otsuka,5,2025-01-20 16:17:51
105,1LDK,Apartment,Nishishinjuku,Shinjuku-ku,Tokyo,246520.0,40.06,213520.0,0.0,5,2023,Nishiwaseda,5,2025-01-20 16:17:51
106,1K,Apartment,Ikenohata,Taito-ku,Tokyo,124000.0,30.78,109000.0,109000.0,3,2018,Nezu,7,2025-01-20 16:17:51
107,1K,Apartment,Hinoka issaikyodanicho,Kyoto-shi Yamashina-ku,Kyoto,35000.0,23.0,50000.0,0.0,2,1990,Keage,8,2025-01-20 16:17:51
108,1LDK,Apartment,Nishishinjuku,Shinjuku-ku,Tokyo,248710.0,40.06,215710.0,0.0,8,2023,Nishiwaseda,5,2025-01-20 16:17:51
109,2LDK,Apartment,Nihonbashi,Chuo-ku,Tokyo,487440.0,58.83,443440.0,0.0,9,2024,Ningyouchou,5,2025-01-20 16:17:51
110,3LDK,Apartment,Shiomi,Koto-ku,Tokyo,168500.0,65.18,0.0,0.0,4,1997,Shiomi,8,2025-01-20 16:17:51
111,3DK,Apartment,Yashio,Shinagawa-ku,Tokyo,145000.0,61.62,0.0,0.0,8,1984,Shinagawa Seaside,18,2025-01-20 16:17:51
112,3DK,Apartment,Ninomiya,Akiruno-shi,Tokyo,60000.0,57.96,0.0,0.0,5,1969,Higashiakiru,16,2025-01-20 16:17:51
113,1R,Apartment,Taito,Taito-ku,Tokyo,350000.0,51.36,0.0,0.0,8,2023,Shin Okachimachi,7,2025-01-20 16:17:51
114,2K,Apartment,Gochicho,Akishima-shi,Tokyo,47000.0,28.98,0.0,0.0,4,1968,Nishitachikawa,28,2025-01-20 16:17:51
116,1K,Apartment,Shimomeguro,Meguro-ku,Tokyo,120110.0,23.78,109000.0,109000.0,4,2008,Meguro,4,2025-01-20 16:17:51
117,2DK,Apartment,Higashimichinobe,Kamagaya-shi,Chiba,59000.0,45.36,0.0,0.0,3,1962,Kamagaya,12,2025-01-20 16:17:51
118,2DK,Apartment,Mukodaicho,Nishitokyo-shi,Tokyo,74000.0,40.38,0.0,0.0,7,1973,Tanashi,25,2025-01-20 16:17:51
119,1LDK,Apartment,Shinjuku,Shinjuku-ku,Tokyo,260000.0,42.84,520000.0,0.0,3,2012,Higashi-Shinjuku,2,2025-01-20 16:17:51
120,3DK,Apartment,Futawa higashi,Funabashi-shi,Chiba,44000.0,45.36,0.0,0.0,3,1962,Futawamukoudai,12,2025-01-20 16:17:51
121,3DK,Apartment,Tokiwadai,Yokohama-shi Hodogaya-ku,Kanagawa,76000.0,49.2,0.0,0.0,4,1963,Kamihoshikawa,18,2025-01-20 16:17:51
122,1LDK,Apartment,Konan,Minato-ku,Tokyo,295000.0,59.12,275000.0,275000.0,6,2003,Shinagawa,6,2025-01-20 16:17:51
123,1DK,Apartment,Kachidoki,Chuo-ku,Tokyo,158330.0,30.5,276000.0,0.0,20,2023,Kachidoki,1,2025-01-20 16:17:51
124,1LDK,Apartment,Nakacho,Meguro-ku,Tokyo,142110.0,26.77,132000.0,132000.0,4,2022,Yutenji,7,2025-01-20 16:17:51
125,2DK,Serviced Apartment,Nishinippori,Arakawa-ku,Tokyo,255000.0,40.14,0.0,0.0,9,1981,Shin Mikawashima,3,2025-01-20 16:17:51
126,1DK,Apartment,Kachidoki,Chuo-ku,Tokyo,158330.0,30.5,276000.0,0.0,20,2023,Kachidoki,1,2025-01-20 16:17:51
127,2LDK,Apartment,Nihombashiningyocho,Chuo-ku,Tokyo,438200.0,52.37,394200.0,0.0,9,2024,Ningyouchou,5,2025-01-20 16:17:51
128,1R,Serviced Apartment,Takigashira,Yokohama-shi Isogo-ku,Kanagawa,55000.0,17.83,0.0,0.0,1,2013,Negishi,12,2025-01-20 16:17:51
129,1R,Apartment,Taito,Taito-ku,Tokyo,350000.0,51.36,0.0,0.0,8,2023,Shin Okachimachi,7,2025-01-20 16:17:51
130,2K,Apartment,Tsukiyoshimachi,Kawagoe-shi,Saitama,44000.0,28.98,0.0,0.0,3,1966,Kawagoe Shi,19,2025-01-20 16:17:51
131,3DK,Apartment,Tebiro,Kamakura-shi,Kanagawa,71000.0,49.2,0.0,0.0,1,1964,Nishikamakura,16,2025-01-20 16:17:51
132,1R,Apartment,Kandatacho,Chiyoda-ku,Tokyo,250000.0,30.38,0.0,0.0,6,2005,Kanda,3,2025-01-20 16:17:51
133,3DK,Apartment,Kobikimachi,Hachioji-shi,Tokyo,56000.0,49.2,0.0,0.0,5,1964,Yamada,10,2025-01-20 16:17:51
135,3DK,Apartment,Kaigan(3-chome),Minato-ku,Tokyo,198000.0,60.58,0.0,0.0,12,1993,Shibaura Futou,6,2025-01-20 16:17:51
136,1R,Serviced Apartment,Hommachi,Shibuya-ku,Tokyo,150000.0,21.0,100000.0,0.0,2,2024,Nishishinjuku Go Choume,10,2025-01-20 16:17:51
137,1R,Apartment,Toranomon,Minato-ku,Tokyo,117110.0,18.91,107000.0,107000.0,5,2005,Kamiyacho,3,2025-01-20 16:17:51
139,1K,Apartment,Mukojima,Sumida-ku,Tokyo,106000.0,25.08,98000.0,0.0,6,2016,Oshiage,5,2025-01-20 16:17:51
140,1K,Apartment,Hatchobori,Chuo-ku,Tokyo,134000.0,25.65,0.0,0.0,2,2004,Hacchoubori,1,2025-01-20 16:17:51
141,1LDK,Apartment,Bakuromachi,Osaka-shi Chuo-ku,Osaka,428000.0,50.0,100000.0,0.0,11,2023,Shinsaibashi,7,2025-01-20 16:17:51
142,1DK,Apartment,Tsukiji,Chuo-ku,Tokyo,198000.0,26.67,0.0,0.0,3,2020,Tsukiji,4,2025-01-20 16:17:51
143,2LDK,Apartment,Tsukiji,Chuo-ku,Tokyo,330000.0,42.3,0.0,0.0,3,2020,Tsukiji,4,2025-01-20 16:17:51
144,1K,Apartment,Hommachi,Shibuya-ku,Tokyo,197000.0,33.9,0.0,0.0,2,2024,Nishishinjuku Go Choume,11,2025-01-20 16:17:51
145,1R,Apartment,Taito,Taito-ku,Tokyo,350000.0,51.36,0.0,0.0,8,2023,Shin Okachimachi,7,2025-01-20 16:17:51
146,1DK,Apartment,Higashikanda,Chiyoda-ku,Tokyo,180000.0,31.31,0.0,0.0,10,2020,Asakusabashi,6,2025-01-20 16:17:51
147,1LDK,Apartment,Tsurumaki,Setagaya-ku,Tokyo,196000.0,32.23,187000.0,0.0,2,2024,Sakurashinmachi,9,2025-01-20 16:17:51
148,1K,Apartment,Sekiguchi,Bunkyo-ku,Tokyo,234000.0,20.52,0.0,0.0,8,2000,Waseda,7,2025-01-20 16:17:51
149,1K,Apartment,Hommachi,Shibuya-ku,Tokyo,144000.0,23.69,0.0,0.0,4,2024,Nishishinjuku Go Choume,11,2025-01-20 16:17:51
150,1R,Apartment,Tomigaya,Shibuya-ku,Tokyo,126000.0,22.13,0.0,0.0,3,2005,Komaba Toudai Mae,9,2025-01-20 16:17:51
151,1K,Apartment,Mita,Minato-ku,Tokyo,128000.0,21.85,121000.0,0.0,4,2007,Shirokane-takanawa,5,2025-01-20 16:17:51
152,1DK,Apartment,Sugamo,Toshima-ku,Tokyo,148000.0,25.8,132000.0,132000.0,10,2024,Sugamo,3,2025-01-20 16:17:51
153,2SLDK,Apartment,Tsurumaki,Setagaya-ku,Tokyo,320000.0,66.42,0.0,0.0,1,2024,Sakurashinmachi,9,2025-01-20 16:17:51
154,1K,Apartment,Kaigan(3-chome),Minato-ku,Tokyo,142000.0,26.07,0.0,0.0,7,2020,Shibaura Futou,5,2025-01-20 16:17:51
155,1LDK,Apartment,Mita,Meguro-ku,Tokyo,277000.0,47.08,0.0,0.0,2,2022,Meguro,10,2025-01-20 16:17:51
156,1K,Apartment,Ikegami,Ota-ku,Tokyo,55000.0,16.0,0.0,0.0,3,1987,Ikegami,4,2025-01-20 16:17:51
157,1K,Apartment,Nishigotanda,Shinagawa-ku,Tokyo,93000.0,20.88,0.0,80000.0,1,2007,Fudoumae,7,2025-01-20 16:17:51
158,1K,Apartment,Kotobuki,Taito-ku,Tokyo,128000.0,25.89,118000.0,0.0,6,2014,Tawaramachi,3,2025-01-20 16:17:51
159,1R,Apartment,Honamanuma,Suginami-ku,Tokyo,81000.0,26.16,0.0,0.0,1,2010,Shimoigusa,15,2025-01-20 16:17:51
160,1K,Apartment,Yoga,Setagaya-ku,Tokyo,147000.0,30.3,0.0,0.0,1,2007,Sakurashinmachi,6,2025-01-20 16:17:51
161,1R,Apartment,Taito,Taito-ku,Tokyo,350000.0,51.36,0.0,0.0,8,2023,Shin Okachimachi,7,2025-01-20 16:17:51
162,1R,Apartment,Shinjuku,Shinjuku-ku,Tokyo,120000.0,29.5,0.0,0.0,4,1984,Shinjuku Gyoen Mae,5,2025-01-20 16:17:51
163,1R,Apartment,Kitashinjuku,Shinjuku-ku,Tokyo,102000.0,20.01,97000.0,0.0,2,2008,Ochiai,7,2025-01-20 16:17:51
164,1K,Apartment,Yoyogi,Shibuya-ku,Tokyo,103000.0,24.2,94000.0,94000.0,6,2007,Sangubashi,5,2025-01-20 16:17:51
165,1R,Apartment,Hommachi,Shibuya-ku,Tokyo,134000.0,24.12,0.0,0.0,4,2021,Nishishinjuku Go Choume,6,2025-01-20 16:17:51
166,1R,Apartment,Akashicho,Chuo-ku,Tokyo,93000.0,20.38,0.0,0.0,2,1978,Shintomichou,7,2025-01-20 16:17:51
167,1K,Apartment,Kaigan(3-chome),Minato-ku,Tokyo,105000.0,21.7,97000.0,0.0,9,2004,Shibaura Futou,7,2025-01-20 16:17:51
168,1LDK,Apartment,Takadanobaba,Shinjuku-ku,Tokyo,165000.0,36.0,0.0,0.0,3,2022,Shimoochiai,7,2025-01-20 16:17:51
169,1DK,Apartment,Matsugaya,Taito-ku,Tokyo,142000.0,25.2,130000.0,0.0,11,2022,Inaricho,6,2025-01-20 16:17:51
170,1K,Apartment,Sasazuka,Shibuya-ku,Tokyo,150000.0,21.25,0.0,70000.0,2,2016,Sasazuka,4,2025-01-20 16:17:51
171,1K,Apartment,Himonya,Meguro-ku,Tokyo,125000.0,25.9,115000.0,0.0,4,2024,Nishikoyama,12,2025-01-20 16:17:51
172,1K,Apartment,Yushima,Bunkyo-ku,Tokyo,85000.0,18.01,0.0,0.0,1,2001,Yushima,5,2025-01-20 16:17:51
173,1LDK,Apartment,Umegaoka,Setagaya-ku,Tokyo,143000.0,28.76,0.0,0.0,2,2024,Goutokuji,8,2025-01-20 16:17:51
174,1DK,Apartment,Shiohama,Koto-ku,Tokyo,158000.0,31.65,0.0,0.0,5,2022,Kiba,10,2025-01-20 16:17:51
175,1R,Apartment,Nihombashikakigaracho,Chuo-ku,Tokyo,95000.0,18.6,0.0,0.0,5,1976,Ningyouchou,4,2025-01-20 16:17:51
176,1K,Apartment,Higashimukojima,Sumida-ku,Tokyo,70000.0,16.17,0.0,0.0,2,2018,Higashimukoujima,2,2025-01-20 16:17:51
177,1R,Apartment,Taito,Taito-ku,Tokyo,350000.0,51.36,0.0,0.0,8,2023,Shin Okachimachi,7,2025-01-20 16:17:51
178,1K,Apartment,Waseda tsurumakicho,Shinjuku-ku,Tokyo,125000.0,23.1,0.0,0.0,2,2016,Waseda,6,2025-01-20 16:17:51
179,1LDK,Apartment,Higashiueno,Taito-ku,Tokyo,210000.0,40.31,189000.0,0.0,9,2017,Ueno,5,2025-01-20 16:17:51
180,1DK,Apartment,Kasuga,Bunkyo-ku,Tokyo,140000.0,25.12,131000.0,0.0,2,2022,Korakuen,8,2025-01-20 16:17:51
181,1R,Apartment,Ebara,Shinagawa-ku,Tokyo,90000.0,16.0,0.0,0.0,3,2018,Togoshiginza,8,2025-01-20 16:17:51
182,1K,Apartment,Itabashi,Itabashi-ku,Tokyo,117000.0,25.4,105000.0,0.0,4,2021,Shin Itabashi,4,2025-01-20 16:17:51
