id,room_type,category,street,city,prefecture,cost,size,deposit,key_money,floor,year,station,minute,created_at
12902,1K,Apartment,Honancho nishi,Toyonaka-shi,Osaka,48000.0,20.28,0.0,43000.0,1,2000,Shounai,13,2025-01-20 16:17:51
12903,1K,Apartment,Nishikamata,Ota-ku,Tokyo,130000.0,20.96,0.0,0.0,3,2007,Kamata,7,2025-01-20 16:17:51
12904,1K,Apartment,Iikura,Fukuoka-shi Sawara-ku,Fukuoka,68550.0,23.18,0.0,94500.0,2,2005,Chayama,21,2025-01-20 16:17:51
12905,1LDK,Apartment,Higashiiko,Adachi-ku,Tokyo,91000.0,40.09,88000.0,0.0,1,2022,Take No Tsuka,15,2025-01-20 16:17:51
12906,1K,Apartment,Ebesu,Narita-shi,Chiba,60000.0,26.08,0.0,0.0,1,2004,Sougosandou,6,2025-01-20 16:17:51
12907,1K,Apartment,Tsurumi,Osaka-shi Tsurumi-ku,Osaka,52500.0,20.37,0.0,47000.0,2,1999,Imafuku Tsurumi,11,2025-01-20 16:17:51
12908,1K,Apartment,Sakashita,Itabashi-ku,Tokyo,95000.0,21.43,0.0,0.0,1,2024,Hasune,8,2025-01-20 16:17:51
12909,2LDK,Apartment,Shinogawamachi,Shinjuku-ku,Tokyo,337000.0,56.83,0.0,0.0,2,2024,Iidabashi,7,2025-01-20 16:17:51
12910,2LDK,Apartment,Kaigan(3-chome),Minato-ku,Tokyo,294000.0,54.87,274000.0,0.0,8,2022,Tamachi,12,2025-01-20 16:17:51
12913,1R,Apartment,Taito,Taito-ku,Tokyo,350000.0,51.36,0.0,0.0,8,2023,Shin Okachimachi,7,2025-01-20 16:17:51
12914,2DK,Apartment,Higashinippori,Arakawa-ku,Tokyo,122000.0,36.45,117000.0,0.0,5,1977,Mikawashima,5,2025-01-20 16:17:51
12915,1K,Apartment,Kitamachi,Warabi-shi,Saitama,76550.0,21.11,0.0,69000.0,2,2014,Warabi,13,2025-01-20 16:17:51
12916,1LDK,Apartment,Azabujuban,Minato-ku,Tokyo,238000.0,51.84,238000.0,238000.0,3,1972,Azabu-juban,4,2025-01-20 16:17:51
12917,1LDK,Apartment,Meieki,Nagoya-shi Nishi-ku,Aichi,93430.0,40.73,0.0,82000.0,5,2006,Kamejima,6,2025-01-20 16:17:51
12918,1LDK,Apartment,Nishigotanda,Shinagawa-ku,Tokyo,230500.0,35.24,0.0,0.0,18,2023,Gotanda,5,2025-01-20 16:17:51
